Inglise,Eesti,Vene,
404 background,404 taust,Фон 404,
A flag for whether the link should be enabled in menus or hidden.,"Märge, kas menüülink on avaldatud või peidetud lehe kasutaja jaoks.","Флажок, указывающий, должна ли ссылка быть активирована в меню или скрыта.",
Accessibility,Juurdepääsetavus,Доступность,
Accessibility modal,Juurdepääsetavuse modaalaken,Модальное окно доступности,
academic hours ,akad. tundi,академических часов,
Additional information,Täiendav info,Дополнительная информация,
Additional information in Juhan,Täiendav info Juhanis,Дополнительная информация в Juhan,
All,Kõik,Все,
Auditory work,Auditoorne töö,Работа в аудитории,
Author,Autor,Автор,
Back,Tagasi,Обратно,
Back to main menu,Tagasi peamenüüsse,Возврат в главное меню,
Black-yellow,Must-kollane,Черно-желтый,
Breadcrumb,Jälglink,Навигационная цепочка,
Bring picture to focus,Too foto fookusesse,Приведите картинку в фокус,
Calendar tags group,Kalendri siltide rühm,Группа тегов календаря,
Cancel,Tühista,Отменить,
CANCELED,TÜHISTATUD,ОТМЕНЕНО,
Change font size,Muuda fondi suurust,Изменить размер шрифта,
Change line height,Muuda joone kõrgust,Изменить высоту строки,
Change page contrast color,Muuda lehekülje kontrasti värvi,Изменить контрастный цвет страницы,
Choose building,Vali hoone,Выберите здание,
Choose department,Vali osakond,Выберите отдел,
Choose event type,Vali sündmuse tüüp,Выберите тип события,
Choose from calendar,Vali kalendrist,Выберите из календаря,
Choose location,Vali asukoht,Выберите местоположение,
Choose position,Vali ametikoht,Выберите должность,
Choose training type,Vali koolituse tüüp,Выберите тип тренинга,
Choose year,Vali aasta,Выберите год,
Click to remove,Klõpsa eemaldamiseks,"Нажмите, чтобы удалить",
Close accessibility modal,Sulge juurdepääsetavuse modaalaken,Закрыть модальное окно доступности,
Close menu,Sulge menüü,Закрыть меню,
Close modal,Sulge modaalaken,Закрыть модальное окно,
Close notification,Sulge teade,Закрыть уведомление,
Closed,Suletud,Закрыто,
Consulations time,Konsultatsiooni aeg,Время консультаций,
Contact,Kontakt,Контакт,
Contact photo,Kontakti foto,Фото контактного лица,
Contact person,Kontaktisik,Контактное лицо,
Contacts,Kontaktid,Контакты,
Content pages,Sisulehed,Страницы контента,
Contrast,Kontrastsus,Контраст,
Copy link,Kopeeri link,Копировать ссылку,
Current page,Praegune lehekülg,Текущая страница,
CV,CV,CV,
Date created,Loomise kuupäev,Дата создания,
Default value,Vaikeväärtus,Значение по умолчанию,
Download audio file,Laadi alla helifail,Скачать аудиофайл,
Download file,Laadi alla fail,Скачать файл,
Download image file,Laadi alla pildifail,Скачать файл изображения,
Download picture file,Laadi alla fotofail,Скачать файл картинки,
Download presentation',Laadi alla esitlus',Скачать презентацию',
Download table file,Laadi alla tabelifail,Скачать файл таблицы,
Download text document,Laadi alla tekstidokument,Скачать текстовый документ,
Download video file,Laadi alla videofail,Скачать видеофайл,
E-mail,E-post,Эл. почта,
Education,Haridus,Образование,
Email address,E-posti aadress,Адрес эл. почты,
